model,operation,feature,pixel4|gpu|float,pixel4|gpu|kernel,s10|gpu|float,s10|gpu|kernel,mi8se|gpu|float,mi8se|gpu|kernel,a03s|gpu|float,a03s|gpu|kernel,iphone7|gpu|float,iphone7|gpu|kernel,iphonexs|gpu|float,iphonexs|gpu|kernel
bagnet9,CONV_2D,"{'Input_shape': '54', 'Input_channel': 512, 'Output_shape': '54', 'Stride': '1', 'Kernel': '1', 'Filter': '128', 'Group': '1', 'FLOPS': '382205952'}",1060.2752,convolution_2d_49_linked_:_relu_50,1353.434,convolution_2d_49_linked_:_relu_50,4318.3744,convolution_2d_49_linked_:_relu_50,11049.613,convolution_2d_49_linked_:_relu_50,1426.351,convolution_2d_49_linked_:_relu_50,576.106,convolution_2d_49_linked_:_relu_50
bagnet9,CONV_2D,"{'Input_shape': '54', 'Input_channel': 128, 'Output_shape': '54', 'Stride': '1', 'Kernel': '1', 'Filter': '128', 'Group': '1', 'FLOPS': '95551488'}",287.36,convolution_2d_51_linked_:_relu_52,344.767,convolution_2d_51_linked_:_relu_52,1121.9328,convolution_2d_51_linked_:_relu_52,3045.676,convolution_2d_51_linked_:_relu_52,388.473,convolution_2d_51_linked_:_relu_52,154.414,convolution_2d_51_linked_:_relu_52
bagnet9,CONV_2D,"{'Input_shape': '54', 'Input_channel': 128, 'Output_shape': '54', 'Stride': '1', 'Kernel': '1', 'Filter': '512', 'Group': '1', 'FLOPS': '382205952'}",1115.3792,convolution_2d_53_linked_:_add_54_linked_:_relu_55,1165.913,convolution_2d_53_linked_:_add_54_linked_:_relu_55,4349.1072,convolution_2d_53_linked_:_add_54_linked_:_relu_55,11710.996,convolution_2d_53_linked_:_add_54_linked_:_relu_55,1753.227,convolution_2d_53_linked_:_add_54_linked_:_relu_55,602.183,convolution_2d_53_linked_:_add_54_linked_:_relu_55
bagnet9,CONV_2D,"{'Input_shape': '54', 'Input_channel': 512, 'Output_shape': '54', 'Stride': '1', 'Kernel': '1', 'Filter': '256', 'Group': '1', 'FLOPS': '764411904'}",2069.4272,convolution_2d_56_linked_:_relu_57,2417.898,convolution_2d_56_linked_:_relu_57,8624.3968,convolution_2d_56_linked_:_relu_57,21847.617,convolution_2d_56_linked_:_relu_57,2794.32,convolution_2d_56_linked_:_relu_57,1140.41,convolution_2d_56_linked_:_relu_57
bagnet9,CONV_2D,"{'Input_shape': '54', 'Input_channel': 256, 'Output_shape': '27', 'Stride': '2', 'Kernel': '1', 'Filter': '256', 'Group': '1', 'FLOPS': '95551488'}",376.0896,convolution_2d_58_linked_:_relu_59,334.145,convolution_2d_58_linked_:_relu_59,1280.9344,convolution_2d_58_linked_:_relu_59,3023.34,convolution_2d_58_linked_:_relu_59,484.328,convolution_2d_58_linked_:_relu_59,217.524,convolution_2d_58_linked_:_relu_59
bagnet9,CONV_2D,"{'Input_shape': '27', 'Input_channel': 256, 'Output_shape': '27', 'Stride': '1', 'Kernel': '1', 'Filter': '1024', 'Group': '1', 'FLOPS': '382205952'}",1152.4992,convolution_2d_60,1041.246,convolution_2d_60,4738.3552,convolution_2d_60,11867.961,convolution_2d_60,1418.723,convolution_2d_60,605.828,convolution_2d_60
bagnet9,CONV_2D,"{'Input_shape': '54', 'Input_channel': 512, 'Output_shape': '27', 'Stride': '2', 'Kernel': '1', 'Filter': '1024', 'Group': '1', 'FLOPS': '764411904'}",2834.944,convolution_2d_61_linked_:_add_62_linked_:_relu_63,2621.491,convolution_2d_61_linked_:_add_62_linked_:_relu_63,10508.1984,convolution_2d_61_linked_:_add_62_linked_:_relu_63,24209.391,convolution_2d_61_linked_:_add_62_linked_:_relu_63,4419.414,convolution_2d_61_linked_:_add_62_linked_:_relu_63,2038.785,convolution_2d_61_linked_:_add_62_linked_:_relu_63
bagnet9,CONV_2D,"{'Input_shape': '27', 'Input_channel': 1024, 'Output_shape': '27', 'Stride': '1', 'Kernel': '1', 'Filter': '256', 'Group': '1', 'FLOPS': '382205952'}",1298.944,convolution_2d_64_linked_:_relu_65,1361.363,convolution_2d_64_linked_:_relu_65,4539.264,convolution_2d_64_linked_:_relu_65,11302.508,convolution_2d_64_linked_:_relu_65,1500.238,convolution_2d_64_linked_:_relu_65,608.668,convolution_2d_64_linked_:_relu_65
bagnet9,CONV_2D,"{'Input_shape': '27', 'Input_channel': 256, 'Output_shape': '27', 'Stride': '1', 'Kernel': '1', 'Filter': '256', 'Group': '1', 'FLOPS': '95551488'}",333.3888,convolution_2d_66_linked_:_relu_67,347.111,convolution_2d_66_linked_:_relu_67,1161.984,convolution_2d_66_linked_:_relu_67,3024.805,convolution_2d_66_linked_:_relu_67,393.73,convolution_2d_66_linked_:_relu_67,160.359,convolution_2d_66_linked_:_relu_67
bagnet9,CONV_2D,"{'Input_shape': '27', 'Input_channel': 256, 'Output_shape': '27', 'Stride': '1', 'Kernel': '1', 'Filter': '1024', 'Group': '1', 'FLOPS': '382205952'}",1194.5728,convolution_2d_68_linked_:_add_69_linked_:_relu_70,1100.979,convolution_2d_68_linked_:_add_69_linked_:_relu_70,4851.0976,convolution_2d_68_linked_:_add_69_linked_:_relu_70,11786.976,convolution_2d_68_linked_:_add_69_linked_:_relu_70,1730.519,convolution_2d_68_linked_:_add_69_linked_:_relu_70,608.867,convolution_2d_68_linked_:_add_69_linked_:_relu_70
