model,FLOPS,size,pixel4|1large|float|mean,pixel4|1large|float|std,pixel4|1med|float|mean,pixel4|1med|float|std,pixel4|2med|float|mean,pixel4|2med|float|std,pixel4|3med|float|mean,pixel4|3med|float|std,pixel4|1large1med|float|mean,pixel4|1large1med|float|std,pixel4|1small|float|mean,pixel4|1small|float|std,pixel4|2small|float|mean,pixel4|2small|float|std,pixel4|3small|float|mean,pixel4|3small|float|std,pixel4|4small|float|mean,pixel4|4small|float|std,pixel4|gpu|float|mean,pixel4|gpu|float|std,s10|1large|float|mean,s10|1large|float|std,s10|2large|float|mean,s10|2large|float|std,s10|1med|float|mean,s10|1med|float|std,s10|2med|float|mean,s10|2med|float|std,s10|1large2med|float|mean,s10|1large2med|float|std,s10|1small|float|mean,s10|1small|float|std,s10|2small|float|mean,s10|2small|float|std,s10|3small|float|mean,s10|3small|float|std,s10|4small|float|mean,s10|4small|float|std,s10|gpu|float|mean,s10|gpu|float|std,mi8se|1large|float|mean,mi8se|1large|float|std,mi8se|2large|float|mean,mi8se|2large|float|std,mi8se|1small|float|mean,mi8se|1small|float|std,mi8se|2small|float|mean,mi8se|2small|float|std,mi8se|3small|float|mean,mi8se|3small|float|std,mi8se|4small|float|mean,mi8se|4small|float|std,mi8se|5small|float|mean,mi8se|5small|float|std,mi8se|6small|float|mean,mi8se|6small|float|std,mi8se|gpu|float|mean,mi8se|gpu|float|std,a03s|1large|float|mean,a03s|1large|float|std,a03s|2large|float|mean,a03s|2large|float|std,a03s|3large|float|mean,a03s|3large|float|std,a03s|4large|float|mean,a03s|4large|float|std,a03s|1small|float|mean,a03s|1small|float|std,a03s|2small|float|mean,a03s|2small|float|std,a03s|3small|float|mean,a03s|3small|float|std,a03s|4small|float|mean,a03s|4small|float|std,a03s|gpu|float|mean,a03s|gpu|float|std,iphone7|1large|float|mean,iphone7|1large|float|std,iphone7|2large|float|mean,iphone7|2large|float|std,iphone7|gpu|float|mean,iphone7|gpu|float|std,iphonexs|1large|float|mean,iphonexs|1large|float|std,iphonexs|2large|float|mean,iphonexs|2large|float|std,iphonexs|1small|float|mean,iphonexs|1small|float|std,iphonexs|2small|float|mean,iphonexs|2small|float|std,iphonexs|3small|float|mean,iphonexs|3small|float|std,iphonexs|4small|float|mean,iphonexs|4small|float|std,iphonexs|gpu|float|mean,iphonexs|gpu|float|std,pixel4|1large|quant|mean,pixel4|1large|quant|std,pixel4|1med|quant|mean,pixel4|1med|quant|std,pixel4|2med|quant|mean,pixel4|2med|quant|std,pixel4|3med|quant|mean,pixel4|3med|quant|std,pixel4|1large1med|quant|mean,pixel4|1large1med|quant|std,pixel4|1small|quant|mean,pixel4|1small|quant|std,pixel4|2small|quant|mean,pixel4|2small|quant|std,pixel4|3small|quant|mean,pixel4|3small|quant|std,pixel4|4small|quant|mean,pixel4|4small|quant|std,s10|1large|quant|mean,s10|1large|quant|std,s10|2large|quant|mean,s10|2large|quant|std,s10|1med|quant|mean,s10|1med|quant|std,s10|2med|quant|mean,s10|2med|quant|std,s10|1large2med|quant|mean,s10|1large2med|quant|std,s10|1small|quant|mean,s10|1small|quant|std,s10|2small|quant|mean,s10|2small|quant|std,s10|3small|quant|mean,s10|3small|quant|std,s10|4small|quant|mean,s10|4small|quant|std,mi8se|1large|quant|mean,mi8se|1large|quant|std,mi8se|2large|quant|mean,mi8se|2large|quant|std,mi8se|1small|quant|mean,mi8se|1small|quant|std,mi8se|2small|quant|mean,mi8se|2small|quant|std,mi8se|3small|quant|mean,mi8se|3small|quant|std,mi8se|4small|quant|mean,mi8se|4small|quant|std,mi8se|5small|quant|mean,mi8se|5small|quant|std,mi8se|6small|quant|mean,mi8se|6small|quant|std,a03s|1large|quant|mean,a03s|1large|quant|std,a03s|2large|quant|mean,a03s|2large|quant|std,a03s|3large|quant|mean,a03s|3large|quant|std,a03s|4large|quant|mean,a03s|4large|quant|std,a03s|1small|quant|mean,a03s|1small|quant|std,a03s|2small|quant|mean,a03s|2small|quant|std,a03s|3small|quant|mean,a03s|3small|quant|std,a03s|4small|quant|mean,a03s|4small|quant|std,iphone7|1large|quant|mean,iphone7|1large|quant|std,iphone7|2large|quant|mean,iphone7|2large|quant|std,iphonexs|1large|quant|mean,iphonexs|1large|quant|std,iphonexs|2large|quant|mean,iphonexs|2large|quant|std,iphonexs|1small|quant|mean,iphonexs|1small|quant|std,iphonexs|2small|quant|mean,iphonexs|2small|quant|std,iphonexs|3small|quant|mean,iphonexs|3small|quant|std,iphonexs|4small|quant|mean,iphonexs|4small|quant|std
mobilenetb_wd4,82074088,1887244,4532.45,30.0,5376.14,75.0,3372.44,22.0,2773.48,21.0,3146.94,15.0,24719.8,332.0,14540.1,312.0,11199.6,205.0,9416.56,302.0,1686.89,85.0,4136.02,72.0,2886.89,35.0,10468.5,50.0,6380.74,54.0,4165.35,204.0,28185.2,707.0,16622.2,681.0,13036.8,1079.0,13639.8,1816.0,4801.89,987.0,11382.7,86.0,7423.57,77.0,31783.5,542.0,18876.6,554.0,14393.9,367.0,11419.4,465.0,10530.4,350.0,10856.7,1365.0,4370.04,125.0,34578.4,123.0,26321.9,755.0,20856.7,416.0,17687.6,252.0,38998.7,124.0,28000.5,858.0,21860.7,364.0,19286.8,159.0,8811.65,475.0,4129.48,467,2798.87,380,2117.19,239,3318.83,33,2116.86,15,14156.3,148,8654.42,575,6943.72,594,6186.51,700,1063.87,127,3266.72,12.0,3887.8,17.0,2947.22,18.0,2677.47,18.0,2622.01,16.0,12131.4,174.0,9229.2,73.0,8448.6,150.0,7741.54,82.0,2923.21,44.0,2234.3,51.0,7051.0,18.0,4904.1,33.0,2996.74,414.0,12239.1,158.0,9130.39,153.0,8161.32,259.0,7708.71,422.0,9508.99,71.0,6619.13,58.0,23260.4,344.0,15974.4,238.0,13833.0,195.0,11493.2,234.0,11643.5,734.0,12145.8,1860.0,18334.6,82.0,13777.9,341.0,11128.2,150.0,9749.82,86.0,22707.9,72.0,16232.8,491.0,13241.7,90.0,11888.3,81.0,4061.93,121,2785.69,114,2975.56,29,2079.66,19,13650.5,447,8824.38,317,7409.82,391,6510.6,625
mobilenetv2_w1,627301376,14006628,28516.9,64.0,33099.5,183.0,18453.6,144.0,13993.9,41.0,17542.8,43.0,142565.0,406.0,74219.9,1697.0,52239.8,1240.0,44712.8,14870.0,5860.7,137.0,24463.9,384.0,15859.8,296.0,67878.5,106.0,36842.1,260.0,22071.7,756.0,187283.0,6421.0,96669.7,513.0,65266.6,1287.0,64714.2,8425.0,10877.4,1319.0,74156.4,469.0,42352.1,440.0,183207.0,800.0,94936.9,978.0,67406.6,541.0,53299.2,496.0,46627.7,745.0,50914.1,20315.0,14947.0,120.0,207289.0,433.0,133854.0,867.0,100612.0,1131.0,83755.2,558.0,238839.0,221.0,148054.0,813.0,110337.0,982.0,93847.0,851.0,41040.6,1502.0,23532.2,873,13603.3,716,5937.18,252,18609.9,72,11474.7,883,90741.5,967,48652.7,747,34791.8,319,28426.1,903,2992.63,48,16036.3,29.0,19344.3,44.0,13222.1,230.0,11435.9,26.0,11708.6,26.0,64249.8,336.0,43633.7,504.0,37349.2,537.0,34102.0,793.0,14028.3,23.0,10296.1,39.0,40213.4,45.0,25311.0,143.0,14028.1,865.0,68650.4,731.0,43329.7,883.0,38520.0,2096.0,35907.3,4214.0,54070.7,332.0,32768.2,190.0,136380.0,826.0,80119.8,771.0,65321.9,1585.0,52974.0,601.0,49974.8,854.0,52118.4,2443.0,104912.0,113.0,68333.9,326.0,51282.7,561.0,171004.0,99615.0,144364.0,2285.0,80471.2,1979.0,72434.6,10238.0,55773.5,5595.0,22651.1,435,13988.3,278,16701.3,103,10433.1,48,78714.0,941,45915.0,1563,36031.4,1332,31624.7,4365
mobilenetv2_w3d4,373363776,10513776,19405.4,52.0,22516.0,78.0,13020.9,43.0,10139.9,33.0,12398.9,258.0,103195.0,561.0,53483.4,936.0,37524.1,868.0,28581.0,1054.0,4553.66,115.0,16639.9,270.0,11141.1,221.0,45254.3,63.0,25097.0,168.0,16153.9,620.0,128900.0,2473.0,61752.1,419.0,46395.6,1606.0,44821.1,3152.0,8739.69,1013.0,49485.3,199.0,28922.4,239.0,125770.0,1645.0,66950.4,1046.0,48813.8,990.0,37246.7,528.0,33193.3,430.0,31911.2,1689.0,11016.8,175.0,146411.0,341.0,97780.5,1005.0,74786.2,763.0,62840.8,929.0,166207.0,143.0,107036.0,1432.0,80612.2,287.0,69452.7,344.0,30443.7,2787.0,16530.1,1134,9600.75,519,4701.93,191,12846.6,64,7957.78,803,61028.9,555,33577.2,606,24533.7,306,20697.0,1454,2414.99,42,12943.8,23.0,15489.8,46.0,10755.4,31.0,9014.77,30.0,9545.17,18.0,53217.2,730.0,36205.6,186.0,30083.2,330.0,26855.4,281.0,11033.1,17.0,8197.63,88.0,29646.7,40.0,18773.9,30.0,10197.2,410.0,56052.3,2379.0,35376.2,730.0,30865.1,1462.0,29623.8,3114.0,40579.6,157.0,24903.7,89.0,103951.0,1173.0,62462.8,541.0,50471.1,1113.0,41358.5,907.0,38580.0,713.0,40965.7,2754.0,84215.1,1539.0,50567.8,442.0,40310.8,568.0,71192.5,49524.0,98087.4,163.0,60933.4,1396.0,47929.0,323.0,41321.0,2848.0,17224.1,672,10617.2,187,12386.4,54,7846.43,31,58428.9,615,34349.0,789,27343.6,909,23572.1,1409
mobilenetv2_wd2,184604800,7878172,10935.4,35.0,12857.8,37.0,7735.42,24.0,6196.98,30.0,7286.49,26.0,61753.2,735.0,32103.2,463.0,23709.5,265.0,25096.4,21770.0,3131.5,133.0,9569.35,124.0,6866.97,140.0,26166.6,104.0,15006.2,68.0,9783.38,347.0,78686.3,2951.0,41266.2,301.0,28803.6,1133.0,30982.2,2131.0,7171.8,815.0,28083.2,119.0,17521.5,174.0,76222.6,702.0,40858.8,1025.0,30546.4,878.0,23900.8,471.0,21213.0,522.0,21312.6,1696.0,7528.61,122.0,88707.0,249.0,62857.2,544.0,49198.4,668.0,40208.2,780.0,99503.9,190.0,68112.1,1221.0,51583.0,313.0,44392.5,297.0,20503.0,1311.0,9491.74,762,5806.79,407,3628.61,295,7550.98,106,4596.96,380,33838.5,918,19383.0,228,14544.7,227,13687.5,4175,1830.02,53,7692.63,23.0,9208.48,33.0,6772.64,41.0,5788.86,40.0,5969.43,17.0,30815.9,264.0,22452.0,274.0,19084.0,342.0,17078.2,226.0,6756.54,18.0,5207.66,20.0,17053.3,29.0,11246.4,30.0,6229.32,44.0,32742.4,262.0,22589.6,653.0,19862.5,1230.0,19842.6,3343.0,23584.1,297.0,15630.6,73.0,58673.2,643.0,37589.6,642.0,30933.3,662.0,26344.5,355.0,25393.8,1969.0,27669.8,2800.0,45159.5,131.0,31078.7,295.0,24824.2,397.0,20601.0,169.0,55596.2,136.0,37542.3,811.0,29474.6,127.0,25778.7,542.0,9594.53,165,6322.45,285,7030.7,45,4644.62,30,33006.0,461,20194.8,403,16786.8,1232,14254.1,1772
mobilenetv2_wd4,61024448,6100664,5160.29,139.0,6021.08,32.0,3948.69,23.0,3261.08,20.0,3770.43,20.0,31414.1,548.0,17373.2,105.0,13188.0,173.0,10522.7,366.0,1975.59,65.0,4797.51,55.0,3445.81,31.0,11600.4,42.0,7116.25,31.0,5247.17,471.0,35585.0,1278.0,20119.2,157.0,16369.6,1096.0,15779.2,3613.0,5798.63,857.0,12645.8,83.0,8862.72,94.0,37319.9,583.0,21465.2,539.0,15958.1,2798.0,13536.1,446.0,12487.9,440.0,11795.2,1021.0,5131.68,97.0,44567.3,481.0,33762.7,466.0,26272.4,456.0,22199.0,205.0,49784.1,306.0,35134.2,1040.0,27516.9,551.0,24423.9,491.0,15451.5,1293.0,4868.97,542,3685.63,613,2787.99,394,3825.77,69,2425.51,23,15777.9,272,9840.54,391,7710.53,304,6869.02,713,1362.0,81,4722.71,22.0,5669.46,52.0,4045.34,23.0,3451.93,23.0,3592.89,14.0,19194.9,306.0,13495.3,194.0,11401.2,299.0,11823.6,5518.0,4057.79,13.0,3113.56,43.0,9427.64,40.0,6413.23,219.0,3964.15,368.0,19275.0,248.0,13605.3,1378.0,12007.5,898.0,11252.0,2386.0,12884.8,164.0,9283.02,51.0,32060.0,526.0,21444.5,467.0,17410.8,249.0,15495.0,160.0,13908.1,514.0,15175.7,2486.0,25472.3,104.0,18339.2,334.0,14789.9,248.0,12671.7,87.0,31255.8,96.0,21924.3,592.0,17637.2,158.0,16477.2,7399.0,5460.58,150,3764.06,270,3928.54,41,2672.5,20,18090.0,407,11441.2,367,9411.95,486,8275.5,1354
mobilenetv2b_w1,601611264,14002376,27426.4,57.0,31972.5,209.0,17824.5,45.0,13527.0,47.0,16947.9,43.0,136040.0,1134.0,71670.7,1106.0,50180.1,1458.0,44636.0,13100.0,5810.95,112.0,23660.3,420.0,15339.2,290.0,65077.2,64.0,35245.5,48.0,21481.7,671.0,181276.0,4117.0,85147.0,396.0,63016.2,1995.0,59700.5,3141.0,10869.2,1123.0,71680.9,331.0,40983.2,329.0,175916.0,2067.0,92995.5,908.0,64981.8,847.0,50833.7,649.0,44314.9,444.0,44001.2,1720.0,14692.9,126.0,200232.0,279.0,128996.0,548.0,98066.0,308.0,79159.4,644.0,229352.0,309.0,137944.0,450.0,105852.0,991.0,89388.7,405.0,38328.3,606.0,23357.9,1209,13306.3,893,5852.27,195,17995.9,65,11092.8,875,88316.5,569,47058.1,555,34624.0,661,30992.6,2699,2964.95,61,15499.6,24.0,18767.3,52.0,12848.6,32.0,11224.7,35.0,11380.3,26.0,62271.4,1519.0,42530.8,317.0,36810.1,532.0,33545.1,271.0,13564.7,32.0,9742.73,28.0,38836.2,85.0,24399.8,27.0,13484.0,795.0,66183.7,241.0,41916.5,620.0,37338.4,2024.0,37720.5,7093.0,51885.6,612.0,31415.4,98.0,131685.0,1657.0,78086.8,619.0,62773.2,687.0,51523.6,806.0,48735.5,1145.0,51211.6,1960.0,100318.0,146.0,68505.1,8397.0,52306.7,4136.0,41595.1,654.0,123829.0,213.0,75864.3,285.0,60285.2,484.0,50788.6,424.0,21477.8,604,13609.0,461,16141.2,114,10079.6,62,75116.9,1093,43984.3,797,34800.8,1200,30069.7,2656
mobilenetv2b_w3d4,358913088,10510536,18669.6,65.0,21677.9,57.0,12510.5,37.0,9744.72,27.0,11928.7,35.0,96112.0,1153.0,51454.2,884.0,36017.6,984.0,27388.7,794.0,4602.12,120.0,16148.6,265.0,10873.6,73.0,43967.4,83.0,24123.8,64.0,15201.8,249.0,116933.0,3472.0,65248.5,412.0,44705.0,1674.0,47386.4,10368.0,8550.39,939.0,47690.7,175.0,28015.0,211.0,120483.0,1056.0,64415.4,1078.0,47721.9,1100.0,36525.2,900.0,31688.2,464.0,34067.8,10182.0,10747.9,257.0,139142.0,275.0,94406.9,641.0,71045.2,642.0,59634.7,699.0,158781.0,189.0,103060.0,965.0,76410.4,681.0,66278.9,317.0,29213.5,747.0,15874.5,901,9307.76,546,4668.65,210,12442.0,50,7691.72,764,59222.5,546,32627.5,489,24123.7,1133,20516.1,2860,2365.79,56,12520.6,25.0,15031.7,41.0,10441.5,32.0,8839.06,33.0,9311.94,19.0,51327.1,181.0,35564.2,374.0,29819.3,400.0,26885.1,2254.0,10669.0,29.0,7875.02,17.0,28711.4,31.0,18240.3,25.0,10768.6,735.0,53670.5,317.0,35732.6,154.0,30244.2,1357.0,27776.5,3361.0,38701.9,133.0,23903.4,75.0,98217.2,1302.0,59416.7,542.0,48503.2,690.0,39307.6,663.0,38267.3,1002.0,38292.7,2156.0,74949.2,173.0,49261.6,546.0,38208.8,620.0,31551.1,199.0,92963.9,98.0,59832.8,982.0,46521.5,620.0,38680.1,452.0,16126.0,111,10270.7,895,11846.4,56,7543.68,38,55739.2,1055,32969.1,660,26325.6,518,24626.3,7066
mobilenetv2b_wd2,178182272,7876068,10673.1,26.0,12519.8,47.0,7464.35,25.0,5979.23,28.0,7068.56,25.0,59664.9,742.0,31347.0,565.0,23020.0,212.0,20819.0,7444.0,3112.93,111.0,9348.06,134.0,6330.15,60.0,25321.3,80.0,14426.3,62.0,9760.53,344.0,73756.1,2458.0,40103.1,290.0,27658.0,1112.0,27642.0,2266.0,7163.68,1158.0,27136.5,190.0,16572.2,227.0,73009.3,1538.0,39555.9,937.0,29725.5,682.0,23105.7,532.0,20487.2,411.0,20551.5,1519.0,7418.38,120.0,84290.1,228.0,60042.5,325.0,46781.1,349.0,38029.3,427.0,95890.5,154.0,62638.8,711.0,48749.6,365.0,43689.3,7065.0,22249.8,992.0,9373.46,914,5617.19,402,3578.66,270,7376.2,90,4472.31,403,33311.4,421,18900.6,689,14314.7,254,12303.7,873,1805.7,61,7461.91,30.0,8924.58,39.0,6607.97,30.0,5676.67,28.0,6347.22,16.0,30015.6,365.0,22048.5,278.0,18529.5,343.0,16857.6,202.0,6558.57,36.0,5082.22,170.0,16478.8,25.0,10935.3,28.0,6303.16,661.0,31525.4,274.0,21086.8,387.0,19128.3,1468.0,18876.2,2859.0,22670.8,336.0,14937.0,83.0,55553.4,1561.0,36370.8,539.0,29924.9,817.0,24967.9,354.0,23716.3,375.0,25751.7,2576.0,42758.7,98.0,28786.8,764.0,23239.8,519.0,20013.1,137.0,52802.2,103.0,35526.5,837.0,28733.9,350.0,24751.4,450.0,9196.48,276,6135.15,325,6737.48,46,4473.75,49,31715.1,735,19392.1,252,16055.1,633,14070.8,2015
mobilenetv2b_wd4,59418816,6099464,5057.68,25.0,5919.62,32.0,3876.59,35.0,3189.14,27.0,3614.04,18.0,30371.7,539.0,16901.2,153.0,12868.3,105.0,10314.3,586.0,2002.02,86.0,4650.35,33.0,3487.53,74.0,11400.9,54.0,6884.86,35.0,4991.34,365.0,34437.2,1285.0,19728.9,743.0,16108.6,1244.0,13090.2,1643.0,5813.23,880.0,12228.3,97.0,8503.06,100.0,37043.6,1142.0,21168.7,902.0,16214.2,533.0,13390.4,380.0,12416.2,439.0,11648.2,1237.0,5082.09,102.0,41718.4,185.0,31813.6,368.0,24637.3,360.0,20901.4,336.0,47055.1,272.0,33942.7,878.0,25951.8,320.0,23224.1,505.0,15142.7,1736.0,4757.18,531,3505.77,441,2749.48,373,3710.92,64,2380.7,27,15478.4,249,9494.9,287,7592.98,647,6732.8,645,1363.67,85,4576.56,18.0,5474.84,27.0,3929.77,24.0,3375.25,21.0,3499.03,15.0,18917.0,662.0,13218.6,141.0,11218.0,153.0,10167.5,242.0,3903.27,14.0,3082.2,120.0,9129.48,28.0,6235.18,22.0,4041.4,498.0,18927.3,183.0,13224.6,195.0,11762.7,842.0,11623.9,3632.0,12358.5,190.0,8734.63,81.0,31151.9,523.0,20363.7,311.0,16859.1,284.0,14536.5,397.0,13813.0,649.0,15247.4,2252.0,24277.9,51.0,17673.1,296.0,14286.9,170.0,12262.8,73.0,29843.9,121.0,20599.3,551.0,17054.2,180.0,14962.3,119.0,5186.34,51,3584.91,231,3746.5,29,2560.05,19,17074.5,174,10883.1,348,9135.01,1080,8087.17,1730
mobilenetv3_large_w1,437454040,21966344,21883.1,49.0,25486.8,122.0,15283.2,37.0,12038.9,85.0,14609.2,46.0,119971.0,658.0,66640.6,1205.0,49696.2,1777.0,39817.9,1549.0,5369.13,111.0,19780.4,339.0,14046.9,86.0,52797.5,96.0,30497.3,85.0,19359.7,855.0,151009.0,2530.0,83857.2,398.0,61577.0,3641.0,62229.7,4149.0,10249.5,1255.0,55999.7,200.0,33987.0,221.0,149037.0,1814.0,83179.2,1741.0,61876.6,957.0,49736.1,1001.0,44525.0,822.0,49212.0,13231.0,13600.9,105.0,177218.0,444.0,120978.0,2081.0,96331.0,968.0,82080.5,666.0,199925.0,408.0,133777.0,2178.0,104751.0,1024.0,90941.2,1297.0,37597.4,912.0,19312.3,1001,11945.8,622,5942.61,310,15138.2,55,9506.76,523,70148.4,527,40607.2,855,31164.5,477,26832.6,870,3222.53,77,14848.8,23.0,17847.0,38.0,12714.6,31.0,11212.0,36.0,12132.3,24.0,63046.6,439.0,42958.4,149.0,37404.3,347.0,33698.6,261.0,12608.1,46.0,9653.54,30.0,33460.8,87.0,22040.5,79.0,11456.0,32.0,67535.3,275.0,43147.4,180.0,38936.3,1821.0,36971.7,4582.0,43208.6,333.0,27788.6,229.0,115542.0,1264.0,70074.8,669.0,58624.8,509.0,47589.9,666.0,45808.0,527.0,48106.3,2338.0,86577.8,105.0,59439.8,1200.0,46644.8,839.0,39201.5,180.0,106868.0,147.0,70675.1,1527.0,55540.0,299.0,47972.0,746.0,17909.3,424,11646.3,367,13295.4,139,8538.89,57,62186.7,561,38133.5,421,31983.6,2616,27811.9,3558
mobilenetv3_large_w3d4,287950784,17062864,15748.1,56.0,18288.2,37.0,11327.9,32.0,9147.73,64.0,10563.5,26.0,87896.9,393.0,50044.3,461.0,38043.8,808.0,30538.5,1152.0,4213.45,136.0,14220.8,187.0,10424.3,146.0,37221.7,96.0,21947.3,102.0,14524.2,688.0,106580.0,2559.0,60209.4,451.0,45858.1,2675.0,43939.5,3186.0,9025.39,1059.0,40119.7,198.0,24885.3,115.0,106875.0,3474.0,61960.6,604.0,45983.3,1178.0,37430.9,970.0,34712.6,1343.0,35382.1,3336.0,10447.6,123.0,128894.0,341.0,91935.0,1583.0,72475.8,1035.0,60686.8,311.0,145500.0,186.0,99787.2,2140.0,77753.7,1149.0,67123.1,1490.0,33184.7,3027.0,14058.0,805,9157.96,2253,4960.9,307,10953.4,48,6960.94,403,50729.3,490,29968.7,677,23205.1,295,20410.9,647,2726.42,106,11531.7,30.0,13826.9,47.0,10113.7,36.0,8833.92,29.0,8889.87,20.0,48284.2,255.0,34027.3,281.0,28865.1,206.0,26041.5,256.0,11103.0,625.0,8280.03,41.0,25101.2,252.0,16910.1,155.0,9662.26,338.0,44737.1,1275.0,33235.7,1857.0,30694.3,1154.0,28072.4,2577.0,32703.3,263.0,21323.8,91.0,83555.1,722.0,52764.7,363.0,44466.1,481.0,37434.3,583.0,34889.9,759.0,37545.3,2624.0,64491.8,69.0,44677.4,1384.0,35816.7,593.0,30220.2,156.0,79572.7,166.0,54212.1,1615.0,42675.8,299.0,37311.0,837.0,13328.8,84,9350.69,2554,9821.99,68,6460.75,39,46167.2,426,28875.2,340,24140.0,2034,21064.5,2390
mobilenetv3_large_w5d4,690969160,29797068,31777.1,77.0,36944.9,103.0,21558.4,48.0,16767.9,42.0,20086.6,43.0,166492.0,1014.0,90392.7,789.0,64644.2,1565.0,52522.1,1916.0,6900.67,125.0,28523.4,436.0,20306.0,94.0,75756.9,73.0,42921.7,92.0,27241.7,800.0,213632.0,5409.0,106628.0,1487.0,86111.1,5020.0,82977.5,4320.0,12321.5,1217.0,82226.2,218.0,48502.4,308.0,209223.0,4004.0,115692.0,2345.0,83408.4,813.0,67029.1,1068.0,60718.5,1143.0,60589.2,3092.0,18126.5,116.0,248909.0,336.0,166633.0,1875.0,130470.0,1828.0,111374.0,1134.0,283290.0,537.0,184328.0,2258.0,141840.0,428.0,122863.0,561.0,50319.0,1103.0,27508.1,1003,16639.6,713,7484.39,210,21801.6,55,13665.7,872,103775.0,691,57965.5,1685,43457.0,496,37775.7,1801,3818.75,76,19659.4,30.0,23610.0,87.0,16402.8,38.0,14349.1,45.0,14610.3,27.0,83202.6,434.0,55677.4,394.0,47374.5,525.0,42387.8,996.0,16813.9,27.0,13049.5,288.0,46958.1,125.0,30072.5,40.0,16238.7,1077.0,88538.4,419.0,55498.9,134.0,47947.4,1477.0,45288.7,3371.0,60035.4,304.0,37677.2,105.0,159679.0,656.0,95169.4,528.0,78076.8,1353.0,64018.6,1235.0,61310.4,3963.0,61114.6,2892.0,121909.0,147.0,80112.8,1825.0,62719.9,334.0,51728.1,247.0,150523.0,276.0,96423.6,2118.0,74469.8,203.0,71569.7,29613.0,25309.7,516,16288.8,364,18944.3,186,11767.8,43,88440.2,1170,52937.9,570,42813.4,1575,39936.4,7492
mobilenetv3_large_w7d20,79447176,11815844,6725.84,23.0,7822.15,31.0,5265.85,28.0,4496.27,39.0,4881.36,25.0,41724.9,820.0,24016.8,553.0,17882.1,171.0,14933.9,313.0,2330.97,69.0,6260.36,54.0,4751.41,90.0,14955.8,79.0,9405.76,44.0,6642.04,636.0,44843.0,1801.0,28014.2,1250.0,22874.0,2640.0,22024.1,1758.0,6977.63,955.0,16035.9,101.0,11254.8,87.0,48054.3,1000.0,27987.5,939.0,21675.4,563.0,18468.0,724.0,16533.6,230.0,17539.2,1341.0,6020.01,100.0,59350.9,309.0,46176.8,355.0,35878.0,566.0,30608.2,400.0,68006.4,230.0,48875.7,1315.0,37852.2,630.0,33876.4,297.0,20537.7,2888.0,6457.54,639,5111.77,500,3737.48,557,4868.53,44,3271.32,23,20788.9,263,13198.0,291,10808.7,724,9991.7,1325,1970.77,78,5745.94,28.0,6935.16,39.0,5187.06,33.0,4630.24,48.0,4977.89,21.0,25275.5,429.0,18309.5,257.0,16092.9,225.0,14509.0,1294.0,4930.49,16.0,4024.29,193.0,11352.1,52.0,8147.58,22.0,5071.68,490.0,25144.3,152.0,18101.2,457.0,16434.9,943.0,15794.9,3812.0,15150.2,232.0,10939.3,92.0,38311.6,534.0,26478.5,349.0,22733.2,510.0,19217.2,316.0,18551.9,595.0,19728.1,2609.0,30066.4,69.0,22415.6,432.0,18375.0,215.0,15787.2,86.0,36869.4,76.0,26593.3,776.0,21723.3,88.0,19438.1,200.0,6377.36,280,4468.89,232,4446.73,38,3146.92,25,20593.0,218,13698.0,230,11896.1,862,10696.3,1941
mobilenetv3_large_wd2,139048648,13370568,9363.83,29.0,10964.4,28.0,7135.77,41.0,6030.7,34.0,6598.76,24.0,55685.6,1060.0,32791.2,347.0,25410.0,846.0,20486.6,1040.0,3146.02,90.0,8573.78,44.0,6525.87,43.0,22846.1,133.0,13701.9,63.0,9648.26,677.0,67250.0,2050.0,39926.5,1986.0,30834.9,1704.0,31821.7,3467.0,7631.33,912.0,23534.4,108.0,15530.0,124.0,67397.8,1410.0,38352.1,1032.0,29629.7,1022.0,24547.6,582.0,23188.5,624.0,23649.1,1665.0,7447.91,83.0,79380.6,138.0,59696.9,1457.0,46743.0,454.0,39674.0,577.0,89635.5,269.0,64276.2,1287.0,49713.9,342.0,43869.6,269.0,22526.1,2098.0,8618.67,731,5751.71,490,3977.01,359,6620.5,39,4370.45,32,29634.8,566,18416.1,451,14886.2,363,13347.2,1491,2194.2,44,7555.02,27.0,9116.37,77.0,6858.05,31.0,5920.65,30.0,6577.54,21.0,32801.4,166.0,24110.1,288.0,20413.9,279.0,21060.9,6598.0,6438.73,72.0,4987.46,53.0,15438.0,42.0,10700.5,58.0,6026.4,33.0,33069.6,123.0,23302.7,1360.0,21142.0,1435.0,309208.0,107217.0,20812.9,255.0,14332.7,95.0,52665.6,754.0,35198.9,336.0,28986.6,351.0,25142.5,540.0,24124.4,916.0,26087.9,2631.0,40641.8,235.0,29499.0,449.0,23705.8,272.0,19934.3,223.0,49891.9,98.0,34544.6,976.0,28162.0,277.0,24773.7,524.0,8433.57,198,5825.74,168,6112.99,51,4164.96,31,28739.0,452,18426.8,503,16085.1,1521,13644.8,1803
